user_id,sa_id,email,phone_number,age,purchase_amount
U-1001,XXX-XXX-XXXX,Unknown,XXX-XXX-XXXX,18.0,0.0
U-1002,XXX-XXX-XXXX,thabo.cohen60@startup.io,XXX-XXX-XXXX,61.0,0.0
U-1003,XXX-XXX-XXXX,naledi.botha56@startup.io,XXX-XXX-XXXX,65.0,401.93
U-1004,XXX-XXX-XXXX,thabo.smith29@startup.io,XXX-XXX-XXXX,48.0,143.09
U-1005,XXX-XXX-XXXX,naledi.dlamini58@company.za,XXX-XXX-XXXX,41.0,456.86
U-1006,XXX-XXX-XXXX,kagiso.smith21@startup.io,XXX-XXX-XXXX,62.0,542.22
U-1007,XXX-XXX-XXXX,fatima.naidoo57@startup.io,XXX-XXX-XXXX,49.0,566.39
U-1008,XXX-XXX-XXXX,fatima.jones46@gmail.com,XXX-XXX-XXXX,40.0,565.58
U-1009,XXX-XXX-XXXX,zanele.molefe69@startup.io,XXX-XXX-XXXX,29.0,849.9
U-1010,XXX-XXX-XXXX,fatima.smith91@webmail.co.za,XXX-XXX-XXXX,32.0,975.78
U-1011,XXX-XXX-XXXX,fatima.molefe66@company.za,XXX-XXX-XXXX,44.0,544.56
U-1012,XXX-XXX-XXXX,david.mkhize22@startup.io,XXX-XXX-XXXX,0.0,491.23
U-1013,XXX-XXX-XXXX,naledi.botha80@company.za,XXX-XXX-XXXX,34.0,781.67
U-1014,XXX-XXX-XXXX,sipho.cohen24@gmail.com,XXX-XXX-XXXX,26.0,537.53
U-1015,XXX-XXX-XXXX,Unknown,XXX-XXX-XXXX,41.0,960.93
U-1016,XXX-XXX-XXXX,david.naidoo36@webmail.co.za,XXX-XXX-XXXX,40.0,244.2
U-1017,XXX-XXX-XXXX,thabo.jones67@gmail.com,XXX-XXX-XXXX,51.0,486.43
U-1018,XXX-XXX-XXXX,Unknown,XXX-XXX-XXXX,31.0,136.92
U-1019,XXX-XXX-XXXX,sipho.botha21@gmail.com,XXX-XXX-XXXX,35.0,0.0
U-1020,XXX-XXX-XXXX,johan.nkosi62@gmail.com,XXX-XXX-XXXX,21.0,83.36
U-1021,XXX-XXX-XXXX,naledi.jones97@startup.io,XXX-XXX-XXXX,25.0,620.05
U-1022,XXX-XXX-XXXX,johan.nkosi6@webmail.co.za,XXX-XXX-XXXX,30.0,477.79
U-1023,XXX-XXX-XXXX,sipho.dlamini78@gmail.com,XXX-XXX-XXXX,27.0,0.0
U-1024,XXX-XXX-XXXX,naledi.cohen26@gmail.com,XXX-XXX-XXXX,53.0,697.43
U-1025,XXX-XXX-XXXX,sarah.patel71@startup.io,XXX-XXX-XXXX,57.0,462.26
U-1026,XXX-XXX-XXXX,pieter.smith21@company.za,XXX-XXX-XXXX,26.0,468.05
U-1027,XXX-XXX-XXXX,lerato.botha6@webmail.co.za,XXX-XXX-XXXX,46.0,0.0
U-1028,XXX-XXX-XXXX,Unknown,XXX-XXX-XXXX,39.0,0.0
U-1029,XXX-XXX-XXXX,pieter.nkosi25@company.za,XXX-XXX-XXXX,24.0,800.49
U-1030,XXX-XXX-XXXX,david.mkhize63@gmail.com,XXX-XXX-XXXX,63.0,34.38
U-1031,XXX-XXX-XXXX,sipho.vandermerwe57@gmail.com,XXX-XXX-XXXX,62.0,763.86
U-1032,XXX-XXX-XXXX,pieter.molefe16@startup.io,XXX-XXX-XXXX,23.0,895.68
U-1033,XXX-XXX-XXXX,sipho.patel26@webmail.co.za,XXX-XXX-XXXX,0.0,752.65
U-1034,XXX-XXX-XXXX,johan.dlamini71@webmail.co.za,XXX-XXX-XXXX,0.0,158.93
U-1035,XXX-XXX-XXXX,sarah.botha7@webmail.co.za,XXX-XXX-XXXX,0.0,284.82
U-1036,XXX-XXX-XXXX,sarah.naidoo28@gmail.com,XXX-XXX-XXXX,46.0,625.32
U-1037,XXX-XXX-XXXX,david.naidoo81@startup.io,XXX-XXX-XXXX,22.0,570.95
U-1038,XXX-XXX-XXXX,naledi.jones13@startup.io,XXX-XXX-XXXX,35.0,956.81
U-1039,XXX-XXX-XXXX,kagiso.molefe35@gmail.com,XXX-XXX-XXXX,63.0,0.0
U-1040,XXX-XXX-XXXX,kagiso.molefe99@gmail.com,XXX-XXX-XXXX,27.0,0.0
U-1041,XXX-XXX-XXXX,david.botha80@startup.io,XXX-XXX-XXXX,58.0,620.54
U-1042,XXX-XXX-XXXX,thabo.smith19@company.za,XXX-XXX-XXXX,43.0,316.93
U-1043,XXX-XXX-XXXX,amina.dlamini94@gmail.com,XXX-XXX-XXXX,31.0,780.13
U-1044,XXX-XXX-XXXX,Unknown,XXX-XXX-XXXX,55.0,0.0
U-1045,XXX-XXX-XXXX,zanele.nkosi39@startup.io,XXX-XXX-XXXX,50.0,643.41
U-1046,XXX-XXX-XXXX,naledi.ndlovu73@startup.io,XXX-XXX-XXXX,24.0,744.71
U-1047,XXX-XXX-XXXX,thabo.jones36@company.za,XXX-XXX-XXXX,51.0,777.91
U-1048,XXX-XXX-XXXX,Unknown,XXX-XXX-XXXX,0.0,732.46
U-1049,XXX-XXX-XXXX,zanele.vandermerwe35@startup.io,XXX-XXX-XXXX,60.0,0.0
U-1050,XXX-XXX-XXXX,amina.botha10@webmail.co.za,XXX-XXX-XXXX,22.0,589.32
U-1051,XXX-XXX-XXXX,sipho.patel97@startup.io,XXX-XXX-XXXX,42.0,620.43
U-1052,XXX-XXX-XXXX,zanele.mkhize79@startup.io,XXX-XXX-XXXX,28.0,649.25
U-1053,XXX-XXX-XXXX,Unknown,XXX-XXX-XXXX,0.0,776.84
U-1054,XXX-XXX-XXXX,Unknown,XXX-XXX-XXXX,62.0,21.41
