user_id,sa_id,email,phone_number,age,purchase_amount
U-1001,5102158427082,,073 527 5959,18,
U-1002,9010121796181,thabo.cohen60@startup.io,065 148 4540,61,
U-1003,7312039672081,naledi.botha56@startup.io,075 622 1244,65,401.93
U-1004,7810140803089,thabo.smith29@startup.io,074 948 8558,48,143.09
U-1005,5212167003082,naledi.dlamini58@company.za,088 678 3446,41,456.86
U-1006,5102087141088,kagiso.smith21@startup.io,088 105 3073,62,542.22
U-1007,7302113389080,fatima.naidoo57@startup.io,068 351 8182,49,566.39
U-1008,5809142638185,fatima.jones46@gmail.com,064 322 4023,40,565.58
U-1009,8608213879188,zanele.molefe69@startup.io,065 571 7971,29,849.9
U-1010,7107150747184,fatima.smith91@webmail.co.za,077 707 9575,32,975.78
U-1011,6610223699184,fatima.molefe66@company.za,076 308 2309,44,544.56
U-1012,8703090828080,david.mkhize22@startup.io,061 370 1443,,491.23
U-1013,8903015317186,naledi.botha80@company.za,088 591 6811,34,781.67
U-1014,7610034143088,sipho.cohen24@gmail.com,081 286 5722,26,537.53
U-1015,6804041051080,,085 837 1227,41,960.93
U-1016,9610060442180,david.naidoo36@webmail.co.za,083 985 3798,40,244.2
U-1017,7004041179183,thabo.jones67@gmail.com,072 805 3824,51,486.43
U-1018,7802194054086,,078 838 2484,31,136.92
U-1019,9111137826080,sipho.botha21@gmail.com,082 784 9346,35,
U-1020,6511128226081,johan.nkosi62@gmail.com,075 240 9489,21,83.36
U-1021,5412119952189,naledi.jones97@startup.io,078 713 8402,25,620.05
U-1022,8603272819087,johan.nkosi6@webmail.co.za,061 147 9837,30,477.79
U-1023,6508175465085,sipho.dlamini78@gmail.com,061 660 8262,27,
U-1024,9609024980088,naledi.cohen26@gmail.com,073 417 8751,53,697.43
U-1025,7510014215183,sarah.patel71@startup.io,076 367 2180,57,462.26
U-1026,5910107791181,pieter.smith21@company.za,075 564 5002,26,468.05
U-1027,7302200653080,lerato.botha6@webmail.co.za,067 421 1232,46,
U-1028,5509034164081,,063 889 1115,39,
U-1029,9210181737186,pieter.nkosi25@company.za,079 228 3566,24,800.49
U-1030,7301023582081,david.mkhize63@gmail.com,061 687 2912,63,34.38
U-1031,9710189564187,sipho.vandermerwe57@gmail.com,088 391 3857,62,763.86
U-1032,8011028965088,pieter.molefe16@startup.io,062 354 6189,23,895.68
U-1033,8812205848085,sipho.patel26@webmail.co.za,072 601 7480,,752.65
U-1034,7311093381088,johan.dlamini71@webmail.co.za,079 745 2403,,158.93
U-1035,6005111557086,sarah.botha7@webmail.co.za,079 381 6793,,284.82
U-1036,9708218042187,sarah.naidoo28@gmail.com,061 280 7624,46,625.32
U-1037,6603270801188,david.naidoo81@startup.io,067 760 1264,22,570.95
U-1038,6308184158189,naledi.jones13@startup.io,073 217 3648,35,956.81
U-1039,9004057209081,kagiso.molefe35@gmail.com,064 365 4386,63,
U-1040,8906029289187,kagiso.molefe99@gmail.com,071 593 8813,27,
U-1041,9203286766083,david.botha80@startup.io,061 854 9587,58,620.54
U-1042,8306193467085,thabo.smith19@company.za,066 503 3488,43,316.93
U-1043,5305254581084,amina.dlamini94@gmail.com,069 494 5301,31,780.13
U-1044,9604116646187,,087 352 5144,55,
U-1045,7712098802183,zanele.nkosi39@startup.io,088 112 1420,50,643.41
U-1046,7902019958085,naledi.ndlovu73@startup.io,084 144 7827,24,744.71
U-1047,5703071314080,thabo.jones36@company.za,079 324 1913,51,777.91
U-1048,6404119874085,,065 840 5855,,732.46
U-1049,7808274324185,zanele.vandermerwe35@startup.io,088 513 5941,60,
U-1050,9002245262185,amina.botha10@webmail.co.za,063 524 8970,22,589.32
U-1051,5112092187188,sipho.patel97@startup.io,074 776 6722,42,620.43
U-1052,5802078232183,zanele.mkhize79@startup.io,072 470 7654,28,649.25
U-1053,9509018112084,,062 551 1821,,776.84
U-1054,5408215267083,,085 385 7627,62,21.41
U-1055,7906129578181,pieter.nkosi48@startup.io,088 124 3510,29,622.98
U-1056,6806010133184,pieter.mkhize37@company.za,078 197 5191,54,435.46
U-1057,8206283442084,fatima.dlamini34@startup.io,065 446 8173,61,360.1
U-1058,8003155019189,david.botha34@startup.io,062 304 9882,40,690.23
U-1059,9510104184089,,079 638 5140,63,25.37
U-1060,5203246786082,zanele.dlamini1@gmail.com,083 481 8170,56,964.57
U-1061,8603186574088,amina.smith25@company.za,074 585 8155,46,136.6
U-1062,6911048369189,,082 955 8619,27,
U-1063,9001031288083,sipho.patel80@gmail.com,063 963 4577,33,39.49
U-1064,9412052132082,amina.mkhize98@gmail.com,079 478 7171,46,776.22
U-1065,7602039809086,johan.naidoo62@company.za,083 887 6466,55,492.95
U-1066,5305093135187,,082 945 9169,33,
U-1067,7105166981183,sipho.smith37@gmail.com,078 531 6943,,185.31
U-1068,7912106184181,sarah.dlamini56@gmail.com,084 459 1366,34,708.27
U-1069,5105114947186,,067 654 2164,32,
U-1070,9203095502183,thabo.vandermerwe11@startup.io,077 723 3221,56,
U-1071,9201025045186,david.dlamini30@company.za,079 619 9193,46,
U-1072,9311224974084,lerato.nkosi26@webmail.co.za,064 111 2624,23,338.17
